fullName,country,id,leg,start,end,file,eugroup,party
Michal ŠIMEČKA,SK,103746,9,2019-07-02,2023-10-24,outgoing,Renew,Progresívne Slovensko
Christophe HANSEN,LU,193419,9,2019-07-02,2023-10-23,outgoing,EPP,Parti chrétien social luxembourgeois
Simone SCHMIEDTBAUER,AT,197656,9,2019-07-02,2023-10-16,outgoing,EPP,Österreichische Volkspartei
Agnès EVREN,FR,197535,9,2019-07-02,2023-09-23,outgoing,EPP,Les Républicains
Yannick JADOT,FR,96740,9,2019-07-02,2023-09-23,outgoing,Greens/EFA,Europe Écologie
Peter van DALEN,NL,96809,9,2019-07-02,2023-09-03,outgoing,EPP,ChristenUnie
Esteban GONZÁLEZ PONS,ES,125027,9,2019-07-02,2023-08-16,outgoing,EPP,Partido Popular
Adriana MALDONADO LÓPEZ,ES,197735,9,2019-07-02,2023-08-16,outgoing,S&D,Partido Socialista Obrero Español
Véronique TRILLET-LENOIR,FR,197593,9,2019-07-02,2023-08-09,outgoing,Renew,Liste Renaissance
Álvaro AMARO,PT,197746,9,2019-07-02,2023-07-06,outgoing,EPP,Partido Social Democrata
Ismail ERTUG,DE,96842,9,2019-07-02,2023-07-02,outgoing,S&D,Sozialdemokratische Partei Deutschlands
Eric ANDRIEU,FR,113892,9,2019-07-02,2023-06-01,outgoing,S&D,Parti socialiste
Nikos ANDROULAKIS,GR,125110,9,2019-07-02,2023-05-02,outgoing,S&D,PASOK-KINAL
Laura HUHTASAARI,FI,197594,9,2019-07-02,2023-04-11,outgoing,NI,Perussuomalaiset
Pierfrancesco MAJORINO,IT,197592,9,2019-07-02,2023-04-04,outgoing,S&D,Partito Democratico
Luisa REGIMENTI,IT,197790,9,2019-07-02,2023-04-03,outgoing,EPP,Forza Italia
Simona BALDASSARRE,IT,197789,9,2019-07-02,2023-04-02,outgoing,ID,Lega
Miroslav ČÍŽ,SK,197761,9,2019-07-02,2022-12-29,outgoing,S&D,SMER-Sociálna demokracia
Søren GADE,DK,197555,9,2019-07-02,2022-11-14,outgoing,Renew,"Venstre, Danmarks Liberale Parti"
Peter KOFOD,DK,197570,9,2019-07-02,2022-11-14,outgoing,ID,Dansk Folkeparti
Lefteris CHRISTOFOROU,CY,26837,9,2019-07-02,2022-11-01,outgoing,EPP,Democratic Rally
Silvio BERLUSCONI,IT,4391,9,2019-07-02,2022-10-12,outgoing,EPP,Forza Italia
Mara BIZZOTTO,IT,97198,9,2019-07-02,2022-10-12,outgoing,ID,Lega
Simona BONAFÈ,IT,124814,9,2019-07-02,2022-10-12,outgoing,S&D,Partito Democratico
Carlo CALENDA,IT,197617,9,2019-07-02,2022-10-12,outgoing,Renew,Azione
Andrea CAROPPO,IT,197797,9,2019-07-02,2022-10-12,outgoing,EPP,Forza Italia
Marco DREOSTO,IT,197614,9,2019-07-02,2022-10-12,outgoing,ID,Lega
Eleonora EVI,IT,124779,9,2019-07-02,2022-10-12,outgoing,Greens/EFA,Europa Verde
Raffaele FITTO,IT,4465,9,2019-07-02,2022-10-12,outgoing,ECR,Fratelli d'Italia
Antonio TAJANI,IT,2187,9,2019-07-02,2022-10-12,outgoing,EPP,Forza Italia
Bettina VOLLATH,AT,197678,9,2019-07-02,2022-10-09,outgoing,S&D,Sozialdemokratische Partei Österreichs
Constanze KREHL,DE,1854,9,2019-07-02,2022-10-02,outgoing,S&D,Sozialdemokratische Partei Deutschlands
Jytte GUTELAND,SE,124991,9,2019-07-02,2022-09-25,outgoing,S&D,Arbetarepartiet- Socialdemokraterna
Jessica STEGRUD,SE,197399,9,2019-07-02,2022-09-25,outgoing,ECR,Sverigedemokraterna
Manuel PIZARRO,PT,197732,9,2019-07-02,2022-09-09,outgoing,S&D,Partido Socialista
Pernando BARRENA ARZA,ES,197684,9,2019-07-02,2022-09-02,outgoing,The Left,EH BILDU
Luis GARICANO,ES,197554,9,2019-07-02,2022-09-01,outgoing,Renew,Ciudadanos – Partido de la Ciudadanía
Manuel BOMPARD,FR,197521,9,2019-07-02,2022-07-28,outgoing,The Left,La France Insoumise
Hélène LAPORTE,FR,197597,9,2019-07-02,2022-07-28,outgoing,ID,Rassemblement national
Julie LECHANTEUX,FR,197686,9,2019-07-02,2022-07-28,outgoing,ID,Rassemblement national
Joëlle MÉLIN,FR,124765,9,2019-07-02,2022-07-28,outgoing,ID,Rassemblement national
Chrysoula ZACHAROPOULOU,FR,197499,9,2019-07-02,2022-05-19,outgoing,Renew,La République en marche
