country,region,mepid,name
IE,Dublin,124984,Lynn BOYLAN
IE,Dublin,96603,Nessa CHILDERS
IE,Dublin,118658,Brian HAYES
IE,Midlands-North-West,124986,Matt CARTHY
IE,Midlands-North-West,124985,Luke Ming FLANAGAN
IE,Midlands-North-West,28116,Marian HARKIN
IE,Midlands-North-West,28115,Mairead McGUINNESS
IE,South,124988,Deirdre CLUNE
IE,South,2109,Brian CROWLEY
IE,South,96668,Seán KELLY
IE,South,124987,Liadh NÍ RIADA
BE,Collège électoral français,124936,Maria ARENA
BE,Collège électoral français,125002,Hugues BAYET
BE,Collège électoral français,1473,Gérard DEPREZ
BE,Collège électoral français,96648,Philippe LAMBERTS
BE,Collège électoral français,96670,Louis MICHEL
BE,Collège électoral français,4253,Frédérique RIES
BE,Collège électoral français,125107,Claude ROLIN
BE,Collège électoral français,29579,Marc TARABELLA
BE,Collège électoral germanophone,24922,Pascal ARIMONT
BE,Nederlands Kiescollege,124973,Gerolf ANNEMANS
BE,Nederlands Kiescollege,28257,Ivo BELET
BE,Nederlands Kiescollege,117477,Mark DEMESMAEKER
BE,Nederlands Kiescollege,128717,Sander LOONES
BE,Nederlands Kiescollege,4751,Bart STAES
BE,Nederlands Kiescollege,125105,Helga STEVENS
BE,Nederlands Kiescollege,117491,Anneleen VAN BOSSUYT
BE,Nederlands Kiescollege,5729,Kathleen VAN BREMPT
BE,Nederlands Kiescollege,129164,Tom VANDENKENDELAERE
BE,Nederlands Kiescollege,130100,Hilde VAUTMANS
BE,Nederlands Kiescollege,97058,Guy VERHOFSTADT
BE,Nederlands Kiescollege,183022,Lieve WIERINCK
FR,Est,124771,Dominique BILDE
FR,Est,96747,Arnaud DANJEAN
FR,Est,28208,Nathalie GRIESBECK
FR,Est,124770,Jean-François JALKH
FR,Est,124947,Edouard MARTIN
FR,Est,124769,Sophie MONTEL
FR,Est,72779,Nadine MORANO
FR,Est,110977,Florian PHILIPPOT
FR,Est,24594,Anne SANDER
FR,Ile-de-France,124744,Guillaume BALAS
FR,Ile-de-France,1985,Pervenche BERÈS
FR,Ile-de-France,124753,Marie-Christine BOUTONNET
FR,Ile-de-France,28206,Jean-Marie CAVADA
FR,Ile-de-France,124752,Aymeric CHAUPRADE
FR,Ile-de-France,72775,Rachida DATI
FR,Ile-de-France,190774,Geoffroy DIDIER
FR,Ile-de-France,124693,Pascal DURAND
FR,Ile-de-France,96883,Eva JOLY
FR,Ile-de-France,96884,Philippe JUVIN
