mep_id,date,organisation,is_NGO,activity,first_name,last_name,country,eugroup
107041,membership,Mitglied Vorstand Politische Akademie (ehrenamtlich),x,-1,Heinz K.,BECKER,Austria,PPE
97968,membership,DEPUTY-PRESIDENT OF THE UNION OF THE EUROPEAN FEDERALISTS,x,0,Andrey,KOVATCHEV,Bulgaria,PPE
97968,membership,MEMBER OF THE PACT MANAGEMENT BOARD (EUROPEAN PARTNERSHIP FOR ACCESS TO QUALITY HEALTH CARE,x,0,Andrey,KOVATCHEV,Bulgaria,PPE
124701,membership,PROSTOR PLUS O.P.S.,x,0,Luděk,NIEDERMAYER,Czech Republic,PPE
96272,membership,Nadační fond Arnošta z Pardubic,x,0,Pavel,SVOBODA,Czech Republic,PPE
96272,membership,Společnost pro duchovní hudbu,x,0,Pavel,SVOBODA,Czech Republic,PPE
96272,membership,Rada Arcidiecézní charity Praha,x,0,Pavel,SVOBODA,Czech Republic,PPE
96272,membership,Předseda Výkonné rady ERA,x,0,Pavel,SVOBODA,Czech Republic,PPE
96705,membership,Bestyrelsesmedlem i Lauritzenfonden,x,3,Bendt,BENDTSEN,Denmark,PPE
1204,membership,Membre du Conseil d'orientation du Mouvement Européen France,x,0,Alain,LAMASSOURE,France,PPE
1179,membership,Rayon Vert,x,-1,Michèle,ALLIOT-MARIE,France,PPE
1179,membership,Fondation du bénévolat,x,-1,Michèle,ALLIOT-MARIE,France,PPE
72775,membership,ADMINISTRATEUR - ASSOCIATION DES AMIS DE L'AZERBAÏDJAN,x,0,Rachida,DATI,France,PPE
96885,membership,CA Association (1901) Réseau Villes et Villages Numériques,x,0,Dominique,RIQUET,France,ALDE
28206,membership,Mouvement européen Français 2011 à 2016,x,0,Jean-Marie,CAVADA,France,ALDE
28206,membership,Association de financement génération Citoyens,x,0,Jean-Marie,CAVADA,France,ALDE
28206,membership,"Génération Citoyens""",x,0,Jean-Marie,CAVADA,France,ALDE
97296,membership,VICE PRESIDENT DE CRISTAL HABITAT (SOCIETE D'ECONOMIE MIXTE DE L'HABITAT SOCIAL),x,1,Michel,DANTIN,France,PPE
97296,membership,PRESIDENT DE LA FONDATION DU BOCAGE,x,0,Michel,DANTIN,France,PPE
4289,membership,Mitglied des Stiftungsrates der Alfons-Goppel-Stiftung,x,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Steering Committee der European Internet Foundation,x,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Senats der Max- Planck-Gesellschaft zur Förderun Wissenschaften,x,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Vorstandes der Hanns- Seidel-Stiftung,x,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Stellvertretende Präsidentin des Stiftungsrats der SWP Stiftung Wissenschaft und Politik,x,0,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Kuratoriums der TÜV SÜD Stiftung,x,3,Angelika,NIEBLER,Germany,PPE
4289,membership,Mitglied des Kuratoriums des ifo Instituts - Leibniz-Institut Wirtschaftsforschung an der Unive München,x,0,Angelika,NIEBLER,Germany,PPE
96761,membership,Mitglied der Stiftung Christlich- Soziale Politik e.V.,x,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied im cnetz – Verein für Netzpolitik e.V.,x,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied der Deutsch-Australischen Juristenvereinigung e.V.,x,0,Axel,VOSS,Germany,PPE
96761,membership,Mitglied des Weißen Rings e.V.| Fachbeirat Europa und Internationale,x,0,Axel,VOSS,Germany,PPE
1928,membership,LUDWIG-ERHARD-STIFTUNG (STIFTUNGSMITGLIED),x,0,Werner,LANGEN,Germany,PPE
1928,membership,KONRAD-ADENAUER- STIFTUNG (STIFTUNGSMITGLIED,x,0,Werner,LANGEN,Germany,PPE
28224,membership,Mitglied im Kuratorium des Max-Planck-Instituts für Stammzellenforschung| Universitä Münster,x,0,Markus,PIEPER,Germany,PPE
4282,membership,MAX-PLANCK-INSTITUT FÜR ZÜCHTUNGSFORSCHUNG| KÖLN: MITGLIED DES KURATORIUMS (EHRENAMT OHNE VERGÜTUNG),x,0,Renate,SOMMER,Germany,PPE
1055,membership,Vorsitz des Beirates Bischöfliche Stiftung,x,0,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
1055,membership,"Mitglied Beirat ""Jakobsweg""""""",x,0,Godelieve,QUISTHOUDT-ROWOHL,Germany,PPE
1038,membership,Mitglied der Deutschen Umweltstiftung,x,0,Karl-Heinz,FLORENZ,Germany,PPE
28223,membership,Vorsitzender des Vereins der Freunde der Rottweiler Münstersängerknaben e.V.,x,0,Andreas,SCHWAB,Germany,PPE
28223,membership,Deutsch-französisches Institut| Ludwigsburg| Mitglied des Vorstands,x,0,Andreas,SCHWAB,Germany,PPE
1852,membership,Bürger Europas e.V.,x,0,Dieter-Lebrecht,KOCH,Germany,PPE
1852,membership,Europ. Bewegung Thüringen,x,0,Dieter-Lebrecht,KOCH,Germany,PPE
28226,membership,Vorstandsmitglied des Literatur- festivals LIT:POTS e.V.,x,0,Christian,EHLER,Germany,PPE
28226,membership,Mitglied der Atlantik-Brücke e.V.,x,0,Christian,EHLER,Germany,PPE
28226,membership,Mitglied der Jerusalem Foundation| München,x,0,Christian,EHLER,Germany,PPE
96772,membership,"Vereinsvorsitzender ""friends of Iowa""""""",x,0,Peter,JAHR,Germany,PPE
96780,membership,Stellvertretende Vorsitzende des Stiftungsrats der Marianne Strauß Stiftung,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Mitglied des Stiftungsrates der Nathalie Todenhöfer Stiftung,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Vorsitzende des Vorstands der Josef und Luise Kraft Stiftung für Multiple- Sklerose-Erkrankte,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Vorsitzende des Vereins der Freunde des Klosters Waldsassen,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Mitglied des Stiftungsrats des Kultur- und Bewegungszentrums des Klosters Waldsassen,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Vorsitzende des Vereins Bürgertreff,x,0,Monika,HOHLMEIER,Germany,PPE
96780,membership,Mitglied des Bundeskuratoriums Christliches Jugenddorfwerk e.V.,x,0,Monika,HOHLMEIER,Germany,PPE
23821,membership,Batthyány Lajos Alapítvány kuratóriumi tag,x,0,József,SZÁJER,Hungary,PPE
96829,membership,ELNÖK| SINOSZ,x,1,Ádám,KÓSA,Hungary,PPE
124714,membership,Foundation Pannonia,x,0,Andor,DELI,Hungary,PPE
58758,membership,Associazione Prendi Parte,x,0,Elisabetta,GARDINI,Italy,PPE
124854,membership,"SIAMO ITALIANI"" COORDINATORE",x,0,Salvatore,CICU,Italy,PPE
28617,membership,President of the Latvian Economic Development Forum (NGO) (not remunerated),x,0,Inese,VAIDERE,Latvia,PPE
28617,membership,Chair of Council of the Latvian Occupation research society (not remunerated),x,0,Inese,VAIDERE,Latvia,PPE
28617,membership,Board member of Arturs Vaiders Foundation,x,0,Inese,VAIDERE,Latvia,PPE
124743,membership,NVO Shinjinbukan Dojo Rīga,x,0,Artis,PABRIKS,Latvia,PPE
124743,membership,NVO Shinjinbukan European Association,x,0,Artis,PABRIKS,Latvia,PPE
124743,membership,NVO Hiršenhofas mantojums,x,0,Artis,PABRIKS,Latvia,PPE
96698,membership,KEDAINIU ROTARY KLUBO NARYS,x,0,Viktor,USPASKICH,Lithuania,ALDE
96698,membership,ASOCIACIJA „UŽ VIENINGĄ IR SVEIKĄ EUROPĄ“,x,0,Viktor,USPASKICH,Lithuania,ALDE
1185,membership,Membre du Conseil d'administration de la fondation Chapelle Musicale Rein Elisabeth,x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil de surveillance de la fondation Bertelsmann,x,3,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil d'honneur du Mouvement Européen International,x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif international de PolAk (political academy of the Austrian People's,x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil de la Fondation Jean Monnet pour l'Europe,x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif de l'association European Horizons,x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,"Membre du ""Board of Patrons"""" de la Fondation IRE (Institut der Regio Europas)""",x,0,Viviane,REDING,Luxembourg,PPE
1185,membership,Membre du Conseil consultatif du Centre de Compétences Dusan Sidjanski en études européennes,x,0,Viviane,REDING,Luxembourg,PPE
38398,membership,Lid Stichting Schnitorgel Zwolle,x,0,Esther,de LANGE,Netherlands,PPE
38398,membership,Bestuurslid Vrienden van de Talenacademie,x,0,Esther,de LANGE,Netherlands,PPE
28165,membership,PRISMA (Verstandelijk Gehandicapten; voorz.Raad van Toezicht),x,2,Lambert,van NISTELROOIJ,Netherlands,PPE
28165,membership,Vughterstede (Verpleging| verzorging; Lid Raad van Toezicht),x,2,Lambert,van NISTELROOIJ,Netherlands,PPE
95074,membership,Stichting Thuis-in-Limburg - Voorzitter,x,0,Jeroen,LENAERS,Netherlands,PPE
95074,membership,European Charity Fund - Bestuurslid,x,0,Jeroen,LENAERS,Netherlands,PPE
96779,membership,Member of the Advisory Board of the European Policy Center,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Advisory Board of the Institute of Public Affairs,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the European Council on Foreign Relations (ECFR),x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Board of Directors of the Center for European Policy Studies,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Steering Committee| European Internet Foundation (EIF),x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Programming Board of the European Forum of New Ideas,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Steering Committee of the Spinelli Group,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Programming Board of the Women's Congress,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the Transatlantic Policy Network,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Chair of the European Forum for Manufacturing,x,0,Danuta Maria,HÜBNER,Poland,PPE
96779,membership,Member of the International Advisory Board| Centrum Balticum Foundation,x,0,Danuta Maria,HÜBNER,Poland,PPE
96776,membership,"Rada Fundacji ""Centrum Im. Bronisława Geremka"""" (niedopłatnie)""",x,-1,Róża Gräfin,von THUN UND HOHENSTEIN,Poland,PPE
96776,membership,RUCH EUROPEJSKI (EUROPEAN MOVEMENT INTERNATIONAL) - WICEPRZEWODNICZĄCA (niedopłatnie),x,-1,Róża Gräfin,von THUN UND HOHENSTEIN,Poland,PPE
124881,membership,CZŁONEK RADY FUNDACJI TEATRU GRODZKIEGO,x,0,Marek,PLURA,Poland,PPE
28269,membership,FUNDACJA KONKURSU PRO PUBLICO BONO,x,0,Jerzy,BUZEK,Poland,PPE
28269,membership,INSTYTUT SPOŁECZEŃSTWA OBYWATELSKIEGO,x,0,Jerzy,BUZEK,Poland,PPE
28269,membership,RADA EUROPEJSKIEJ FUNDACJI ROZWOJU WSI POLSKIEJ,x,0,Jerzy,BUZEK,Poland,PPE
28269,membership,Instytut Jacques Delors,x,0,Jerzy,BUZEK,Poland,PPE
23787,membership,STOWARZYSZENIE INSTYTUT POLITYCZNY IM. MACIEJA RATAJA - PREZES,x,0,Czesław Adam,SIEKIERSKI,Poland,PPE
23781,membership,Sopocki Klub LA,x,0,Janusz,LEWANDOWSKI,Poland,PPE
23781,membership,Rada Programowa Instytutu Badań nad Gospodarką Rynkową,x,0,Janusz,LEWANDOWSKI,Poland,PPE
23781,membership,Zarząd Fundacji Schumana,x,0,Janusz,LEWANDOWSKI,Poland,PPE
