epid,gender,firstName,lastName
218349,M,Michiel,HOOGEVEEN
218347,M,Thijs,REUTEN
209091,M,Cyrus,ENGERER
209140,M,Vlad,GHEORGHE
209896,M,Colm,MARKEY
214839,F,Emma,WIESNER
213330,M,Ernő,SCHALLER-BAROSS
212855,M,Alin,MITUȚA
208722,F,Sara,MATTHIEU
206158,F,Manuela,RIPA
4246,M,Othmar,Karas
38511,M,Georg,Mayer
96998,F,Evelyn,Regner
124934,F,Monika,Vana
125001,M,Harald,Vilimsky
190713,M,Lukas,Mandl
197632,F,Claudia,Gamon
197643,F,Karoline,Edtstadler
197648,F,Alexander,Bernhuber
197652,M,Angelika,Winzig
197656,F,Simone,Schmiedtbauer
197667,F,Barbara,Thaler
197670,M,Andreas,Schieder
197675,F,Sarah,Wiener
197677,M,Günther,Sidl
197678,F,Bettina,Vollath
197682,F,Hannes,Heide
198176,M,Roman,Haider
4253,F,Frédérique,Ries
5729,F,Kathleen,Van Brempt
24922,M,Pascal,Arimont
29579,M,Marc,Tarabella
96648,M,Philippe,Lamberts
97058,M,Guy,Verhofstadt
124936,F,Maria,Arena
124973,M,Gerolf,Annemans
125106,M,Johan,Van Overtveldt
130100,F,Hilde,Vautmans
185771,M,Tom,Vandendriessche
187917,M,Marc,Botenga
197420,M,Kris,Peeters
197455,F,Cindy,Franssen
197458,M,Benoît,Lutgen
197463,M,Olivier,Chastel
197467,M,Geert,Bourgeois
197469,F,Assita,Kanko
197470,F,Saskia,Bricmont
197471,F,Petra,De Sutter
197472,M,Filip,De Man
97968,M,Andrey,Kovatchev
98341,F,Eva,Maydell
107212,M,Andrey,Novakov
124850,M,Emil,Radev
124852,M,Sergei,Stanishev
124866,M,Ilhan,Kyuchyuk
124873,M,Angel,Dzhambazki
125128,F,Iskra,Mihaylova
189525,M,Asim,Ademov
197836,M,Alexander,Alexandrov Yordanov
197839,M,Radan,Kanev
197842,F,Elena,Yoncheva
197844,M,Petar,Vitanov
197845,F,Tsvetelina,Penkova
197846,M,Ivo,Hristov
197848,F,Atidzhe,Alieva-Veli
197849,M,Andrey,Slabakov
26837,M,Lefteris,Christoforou
124691,M,Costas,Mavrides
124692,M,Demetris,Papadakis
197414,M,Loucas,Fourlas
197415,M,Niyazi,Kizilyürek
197416,M,Giorgos,Georgiou
23699,F,Kateřina,Konečná
23712,M,Jan,Zahradil
96713,M,Evžen,Tošenovský
118949,M,Ondřej,Kovařík
124701,M,Luděk,Niedermayer
124704,M,Stanislav,Polčák
124708,F,Dita,Charanzová
124709,F,Martina,Dlabajová
124710,F,Michaela,Šojdrová
124713,M,Tomáš,Zdechovský
125706,M,Jiří,Pospíšil
197522,F,Radka,Maxová
197526,M,Martin,Hlaváček
197528,M,Ondřej,Knotek
197537,M,Alexandr,Vondra
197539,M,Mikuláš,Peksa
197546,M,Marcel,Kolaja
197549,F,Markéta,Gregorová
197552,F,Veronika,Vrecionová
197556,M,Ivan,David
197564,M,Hynek,Blaško
1854,F,Constanze,Krehl
1909,M,Bernd,Lange
1913,F,Evelyne,Gebhardt
1917,M,Markus,Ferber
1927,M,Peter,Liese
2323,M,Rainer,Wieland
2341,M,Michael,Gahler
4267,M,Udo,Bullmann
4289,F,Angelika,Niebler
28219,M,Daniel,Caspary
28223,M,Andreas,Schwab
28224,M,Markus,Pieper
28226,M,Christian,Ehler
28229,M,Manfred,Weber
86793,F,Anna,Cavazzini
96646,M,Helmut,Scholz
96730,M,Sven,Giegold
96734,F,Ska,Keller
96739,M,Reinhard,Bütikofer
96752,M,Martin,Häusling
96756,F,Sabine,Verheyen
96761,M,Axel,Voss
96772,M,Peter,Jahr
96780,F,Monika,Hohlmeier
96833,M,Jens,Geier
96837,F,Petra,Kammerevert
96842,M,Ismail,Ertug
96844,M,Norbert,Neuser
96852,F,Cornelia,Ernst
96932,F,Birgit,Sippel
99945,F,Lena,Düpont
103381,F,Terry,Reintke
106936,M,Daniel,Freund
120478,F,Martina,Michels
124806,M,David,McAllister
124807,M,Jens,Gieseke
124808,M,Norbert,Lins
124809,M,Sven,Schulze
124818,M,Klaus,Buchner
124822,M,Dietmar,Köster
124834,M,Martin,Sonneborn
124836,F,Maria,Noichl
124837,M,Joachim,Schuster
124862,F,Ulrike,Müller
128483,M,Markus,Buchheit
132191,M,Gunnar Günter,Beck
183916,F,Alexandra,Geese
185619,M,Tiemo,Wölken
188945,M,Dennis,Radtke
190517,M,Martin,Schirdewan
190518,M,Jörg,Meuthen
193273,M,Romeo,Franz
197408,F,Hildegard,Bentele
197410,M,Stefan,Berger
197412,M,Niclas,Herbst
197422,F,Christine,Schneider
197423,M,Nico,Semsrott
197425,M,Ralf,Seekatz
197426,M,Sven,Simon
197427,F,Marlene,Mortler
197429,F,Marion,Walsmann
197430,M,Engin,Eroglu
197431,M,Patrick,Breyer
197432,M,Jan-Christoph,Oetjen
197433,F,Katarina,Barley
197434,M,Martin,Buschmann
197435,F,Gabriele,Bischoff
197436,M,Helmut,Geuking
197437,F,Nicola,Beer
197439,M,Damian,Boeselager
197440,F,Delara,Burkhardt
197443,M,Andreas,Glück
197444,F,Svenja,Hahn
197445,M,Moritz,Körner
197448,M,Rasmus,Andresen
197449,M,Michael,Bloss
197451,F,Viola,Von Cramon-Taubadel
197453,F,Anna,Deparnay-Grunenberg
197457,F,Henrike Nanna Gisela,Hahn
197459,F,Pierrette Gabrielle,Herzberger-Fofana
197460,M,Sergey,Lagodinsky
197461,F,Katrin,Langensiepen
197462,M,Erik,Marquardt
197464,F,Hannah,Neumann
197465,M,Niklas,Nienaß
197466,F,Jutta,Paulus
197468,F,Özlem,Demirel
197473,M,Christian Konrad,Doleschal
197475,F,Christine,Anderson
197478,M,Lars Patrick,Berg
197480,M,Nicolaus,Fest
197481,M,Maximilian,Krah
197482,M,Joachim,Kuhs
197483,F,Sylvia,Limmer
197488,M,Guido,Reil
197489,M,Bernhard,Zimniok
28161,F,Margrete,Auken
37312,F,Christel,Schaldemose
96709,M,Morten,Løkkegaard
101585,M,Niels,Fuglsang
124872,M,Morten Helveg,Petersen
197515,F,Pernille,Weiss
197555,M,Søren Gade,Gade
197558,M,Asger,Christensen
197567,F,Karen,Melchior
197570,M,Peter,Kofod
197571,M,Nikolaj,Villumsen
197573,F,Kira Marie,Peter-Hansen
124696,M,Andrus,Ansip
124700,F,Yana,Toom
129073,M,Urmas,Paet
197491,F,Marina,Kaljurand
197493,M,Jaak,Madison
197497,M,Sven,Mikser
1992,M,José Manuel,García-Margallo y Marfil
4344,F,María Soraya,Rodríguez Ramos
28298,F,Iratxe,García Pérez
28347,M,Javier,Moreno Sánchez
28390,F,Pilar,del Castillo Vera
28399,M,Antonio,López-Istúriz White
28400,M,Francisco José,Millán Mon
96808,M,Pablo,Arias Echeverría
96811,F,Rosa,Estaràs Ferragut
96812,M,Juan Fernando,López Aguilar
96922,F,Izaskun,Bilbao Barandica
96991,F,Eider,Gardiazabal Rubial
122978,F,Alicia,HOMS GINEL
124972,M,Ernest,Urtasun
125005,M,Javier,Nart
125027,M,Esteban,González Pons
125038,F,Maite,Pagazaurtundúa
125042,M,Javi,López
125043,F,Inma,Rodríguez-Piñero
125045,F,Clara,Aguilera
125046,M,Jonás,Fernández
126644,M,Jordi,Cañas
127096,M,Domènec,Ruiz Devesa
131507,M,Miguel,Urbán Crespo
197554,M,Luis,Garicano
197606,M,Javier,Zarzalejos
197621,M,Juan Ignacio,Zoido Álvarez
197679,F,Isabel,Benjumea Benjumea
197681,F,Sira,Rego
197684,M,Pernando,Barrena Arza
197702,F,Lina,Galvez Muñoz
197711,F,Dolors,Montserrat
197717,M,Ibán,Garcia Del Blanco
197718,M,Nicolás,Gonzalez Casares
197719,F,Cristina,Maestre Martín De Almagro
197721,M,César,Luena
197722,M,Nacho,Sánchez Amor
197728,F,Mónica Silvana,González
197735,F,Adriana,Maldonado López
