epid,name,correct,twitter1,twitter2
5392,Lara WOLTERS,,larawoltersEU,wolters_lara
24594,Anne SANDER,,AnneSanderElue,ASanderMEP
96646,Helmut SCHOLZ,,HelmutScholzMEP,helmutscholz
96830,Enikő GYŐRI,,EGyori,GyoriEniko
96880,Andrea COZZOLINO,,cozzolino62,acozzolino
96903,Paulo RANGEL,,paulorangel_pt,libertarofuturo
113892,Éric,,EricAndrieuEU,Eric_Andrieu
124713,Tomáš ZDECHOVSKÝ,,TomasZdechovsky,TomZdechovsky
124760,Nicolas BAY,,nicolasbayfn,NicolasBay_
124844,Piernicola PEDICINI,,PediciniM5S,PediciniEu
125042,Javi LÓPEZ,,javilopezEU,fjavilopez
125237,Marco ZULLO,,MarcoZullo,marcozulloep
185771,Tom VANDENDRIESSCHE,,TomVandendriese,TomVandendriess
189065,France JAMET,,francejamet,JametFrance
197436,Helmut GEUKING,,Brger100,geukinghelmut
197449,Michael BLOSS,,michabl,micha_bloss
197461,Katrin LANGENSIEPEN,,k_langensiepen,katrinlangensie
197464,Hannah NEUMANN,,HNeumannMEP,Hannah_LBerg
197470,Saskia BRICMONT,,saskiabricmont,bricmontsaskia
197475,Christine ANDERSON,,AndersonAfDMdEP,c____anderson
197478,Lars Patrick BERG,,larspatrickberg,L_P_Berg
197512,Benoît BITEAU,,Identi_Terre,BenoitBiteau
197519,Beata KEMPA,,beatakempa_kprm,BeataKempa_MEP
197548,,,radeksikorski,sikorskiradek
197559,Grzegorz TOBISZOWSKI,,obiszowski,tobiszowski
197572,Anna ZALEWSKA,,AnnaZalewskaMEP,_AnnaZalewska
197634,Pedro MARQUES,,PedroMarquesMEP,pmdjmarques
197635,Maria-Manuel LEITÃO-MARQUES,,mariamanuellm,leitaomarquesep
197770,Martin HOJSÍK,,mhojsik,martinhojsik
197828,Manu PINEDA,,ManuAbuCarlos1,manu_abu_carlos
197843,Andrius KUBILIUS,,andriuskubilius,kubiliusa
197935,Ivan Vilibor SINČIĆ,,IvanVilibor,sincicmep
204346,Dominik TARCZYŃSKI,,D_Tarczynsk,D_Tarczynski
